,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,PlayScore,GameScore,CriticScore,GlobalSellers,TopSellers,TopRated,Critc_Count
18,64,2,2011,8,27,2.85,2.89,0.35,1.08,7.17,48,38,7.5,1761,104,2,8.65,9.06,8.23,6,1,1,34
19,278,3,2015,7,12,2.53,3.27,0.24,1.13,7.16,50,58,6.5,4228,38,2,9.01,9.29,8.72,6,1,1,54
20,886,2,2011,0,70,2.77,2.75,0.19,1.03,6.74,55,97,8.3,3712,238,3,9.02,8.87,9.18,6,1,1,88
21,106,2,2007,8,3,3.11,2.26,0.28,1.03,6.68,57,44,8.4,993,183,2,8.59,8.78,8.41,6,1,1,40
22,885,2,2009,0,70,3.27,2.2,0.21,0.98,6.66,59,105,8.8,5187,238,3,9.27,9.2,9.33,6,1,1,94
23,621,2,2010,0,81,2.79,2.53,0.17,0.99,6.49,58,73,8.8,2456,304,2,9.19,9.28,9.09,6,1,1,69
24,261,2,2013,10,27,0.78,4.24,0.07,1.37,6.47,49,37,4.3,576,101,0,8.32,8.31,8.32,6,1,1,33
25,40,2,2012,0,88,2.64,2.52,0.16,1.12,6.45,48,41,6.9,1307,389,2,8.66,8.86,8.47,6,1,1,37
26,792,2,2011,7,12,2.55,2.6,0.25,1.0,6.41,55,16,6.4,2527,38,2,8.8,8.89,8.72,6,1,1,12
27,928,1,2004,7,3,0.08,6.21,0.0,0.0,6.29,56,57,7.3,2182,47,3,8.22,8.04,8.4,6,1,1,53
28,262,3,2014,10,27,0.8,4.33,0.05,0.9,6.08,45,47,5.7,988,110,0,8.62,9.08,8.16,6,1,0,43
29,480,2,2008,0,42,2.63,1.71,0.83,0.82,5.99,57,82,8.7,3558,199,2,9.12,9.17,9.06,7,1,1,78
30,804,2,2013,0,72,2.41,2.18,0.28,0.99,5.87,58,98,9.1,8003,238,2,9.45,9.49,9.42,7,1,1,89
31,412,2,2008,4,70,2.8,1.98,0.17,0.87,5.82,58,85,6.8,5311,313,0,8.95,8.95,8.95,7,1,1,80
32,171,3,2014,8,3,2.49,2.07,0.16,0.92,5.64,39,95,6.1,5380,56,3,7.44,7.35,7.53,7,1,0,87
33,39,2,2009,0,88,2.54,1.93,0.21,0.86,5.55,54,70,8.6,1202,392,2,8.93,9.07,8.78,7,1,1,66
34,52,2,2011,0,95,2.71,1.85,0.11,0.81,5.48,59,42,8.6,2162,307,3,9.18,9.34,9.02,7,1,1,38
35,114,2,2008,8,3,2.73,1.83,0.0,0.83,5.39,48,45,7.6,409,380,2,8.13,8.29,7.96,7,1,1,41
36,887,3,2016,8,70,1.85,2.5,0.19,0.85,5.38,56,113,7.9,7064,238,3,9.43,9.58,9.28,7,1,1,96
37,293,2,2009,7,76,1.74,1.21,1.87,0.51,5.33,46,83,7.3,2483,344,3,7.7,7.54,7.87,7,1,0,79
38,178,1,2012,7,3,2.44,2.16,0.0,0.54,5.14,51,86,4.0,9629,47,2,8.12,7.53,8.71,7,1,1,81
39,627,2,2009,0,15,1.96,1.41,1.08,0.64,5.09,47,76,7.5,667,62,2,8.33,8.21,8.46,7,1,1,72
40,268,2,2010,10,27,0.61,3.28,0.06,1.12,5.07,52,51,8.0,233,110,0,8.36,8.17,8.55,7,1,1,47
41,888,2,2007,0,70,2.31,1.72,0.12,0.77,4.92,51,66,8.1,2306,239,3,8.25,8.34,8.17,7,1,1,62
42,744,1,2010,11,3,2.57,1.68,0.0,0.58,4.84,56,82,8.2,3052,47,3,8.88,8.58,9.19,7,1,1,78
43,37,2,2007,1,88,1.91,2.0,0.09,0.82,4.82,44,40,7.3,769,392,2,8.24,8.47,8.01,7,1,0,36
44,314,2,2010,0,70,2.74,1.33,0.12,0.61,4.8,55,101,8.7,2633,312,2,9.09,9.02,9.16,7,1,1,91
45,425,0,2013,0,56,1.8,1.39,1.11,0.29,4.59,49,74,8.4,458,245,0,9.05,9.73,8.37,7,1,1,70
46,111,3,2016,8,3,1.61,2.0,0.15,0.71,4.46,40,82,3.4,1129,183,2,7.78,7.97,7.58,7,1,0,78
47,635,2,2006,8,70,1.74,1.72,0.14,0.75,4.34,49,70,8.1,715,185,2,7.94,7.89,8.0,7,1,1,66
48,51,2,2009,0,26,2.24,1.31,0.07,0.61,4.23,54,70,8.9,1122,307,3,8.88,9.16,8.59,7,1,1,66
49,44,2,2011,0,88,1.41,2.01,0.1,0.7,4.22,43,39,7.5,613,392,2,8.31,8.63,7.99,7,1,0,35
50,752,2,2009,2,15,2.03,1.04,0.58,0.52,4.16,57,61,7.3,330,62,3,8.47,8.14,8.8,7,1,1,57
51,60,3,2016,8,27,1.1,2.15,0.21,0.61,4.08,51,31,8.4,809,104,2,8.81,8.96,8.66,7,1,1,27
52,918,3,2014,0,88,1.4,1.9,0.11,0.64,4.05,43,80,6.3,2996,392,2,8.4,8.7,8.1,7,1,0,76
53,286,3,2014,8,88,1.13,2.18,0.1,0.63,4.04,48,83,7.7,1653,392,2,8.64,9.01,8.27,7,1,1,79
54,830,3,2015,7,55,1.02,2.13,0.23,0.59,3.97,55,79,9.2,10179,58,2,9.29,9.63,8.95,1,1,1,75
55,53,3,2015,0,95,1.53,1.69,0.1,0.64,3.95,50,89,7.6,2679,307,2,9.04,9.3,8.78,1,1,1,83
56,277,2,2008,7,12,2.15,1.13,0.07,0.59,3.94,53,57,8.0,910,38,2,8.41,8.57,8.25,1,1,1,53
57,494,0,2014,7,56,0.68,0.48,2.62,0.11,3.89,49,80,8.7,348,62,3,9.07,9.59,8.56,1,1,1,76
58,792,1,2011,7,12,1.16,2.12,0.0,0.6,3.88,57,32,8.1,9073,38,2,9.23,9.35,9.11,1,1,1,28
59,512,3,2015,10,81,2.49,0.66,0.03,0.69,3.88,50,51,6.7,364,409,1,8.59,8.67,8.5,1,1,1,47
60,498,2,2006,6,70,1.53,1.6,0.06,0.67,3.87,47,9,7.4,220,129,3,7.6,7.6,7.61,1,1,1,5
61,110,3,2013,8,3,1.78,1.43,0.05,0.57,3.83,41,49,3.7,1564,183,2,7.79,8.09,7.5,1,1,0,45
62,855,3,2016,8,88,1.35,1.7,0.15,0.6,3.8,43,64,7.0,2219,219,2,8.3,8.6,7.99,1,1,0,60
63,41,2,2013,0,88,1.33,1.68,0.13,0.57,3.71,51,36,8.1,840,389,2,8.85,9.12,8.58,1,1,1,32
64,267,2,2009,10,27,0.6,2.45,0.05,0.52,3.62,54,56,7.6,203,110,0,8.48,8.28,8.67,1,1,1,52
65,65,3,2013,8,27,1.35,1.55,0.17,0.51,3.59,48,18,6.9,1580,104,2,8.67,9.14,8.2,1,1,1,14
66,65,2,2013,8,27,1.3,1.42,0.27,0.5,3.49,43,14,5.8,579,104,2,8.69,9.21,8.18,1,1,0,10
67,482,3,2015,0,42,1.09,1.36,0.49,0.48,3.41,56,86,8.2,3943,200,2,9.25,9.34,9.16,1,1,1,81
68,413,2,2011,4,70,1.83,1.05,0.06,0.46,3.39,54,86,8.4,657,222,0,9.11,9.29,8.92,1,1,1,81
69,42,3,2015,0,88,0.81,1.99,0.07,0.52,3.39,39,86,6.8,1319,395,2,8.36,8.92,7.8,1,1,0,81
70,285,2,2012,8,88,0.88,1.7,0.1,0.67,3.35,53,32,8.5,1041,392,2,8.96,9.25,8.68,1,1,1,28
71,443,3,2015,10,27,2.34,0.3,0.0,0.6,3.24,46,37,5.9,180,110,0,8.41,8.66,8.17,1,1,0,33
72,318,2,2013,6,70,0.72,1.67,0.4,0.44,3.23,44,81,7.7,758,277,0,8.27,8.41,8.14,1,1,0,77
73,394,2,2011,1,81,1.27,1.29,0.12,0.49,3.17,52,78,7.7,1010,363,2,8.41,8.25,8.57,1,1,1,74
74,279,2,2010,7,12,1.52,1.03,0.1,0.46,3.11,45,57,7.8,492,261,2,8.03,8.23,7.83,1,1,0,53
75,790,2,2007,7,88,1.69,0.85,0.14,0.43,3.1,56,45,8.0,604,8,2,8.46,8.47,8.44,1,1,1,41
76,809,0,2013,0,56,1.4,1.01,0.46,0.23,3.1,54,81,8.9,1057,250,0,9.3,9.7,8.9,1,1,1,77
77,628,2,2012,8,15,0.88,0.94,0.88,0.4,3.1,37,34,5.4,1304,62,2,7.85,8.56,7.13,1,1,0,30
78,22,0,2015,9,56,0.51,1.02,1.4,0.12,3.05,29,60,6.9,106,250,0,7.71,8.75,6.68,1,1,0,56
79,822,1,2014,9,27,1.0,1.82,0.0,0.23,3.05,33,74,3.9,2057,221,3,7.14,7.33,6.95,1,1,0,70
80,349,2,2010,1,70,1.29,1.21,0.06,0.47,3.03,50,107,7.7,2759,286,2,8.42,8.55,8.3,1,1,1,95
81,261,3,2013,10,27,0.61,1.85,0.11,0.44,3.01,50,26,6.3,616,101,0,8.6,8.89,8.3,1,1,1,22
82,385,2,2009,8,70,1.4,1.06,0.08,0.47,3.01,54,94,8.1,1505,161,2,8.71,8.46,8.96,1,1,1,86
83,742,1,2011,7,27,1.58,1.01,0.0,0.38,2.96,48,73,5.9,2748,213,3,8.18,7.96,8.4,1,1,1,69
84,68,2,2010,8,27,1.33,1.1,0.08,0.44,2.95,51,59,8.5,572,104,2,8.66,8.86,8.46,1,1,1,55
85,41,3,2013,0,88,1.07,1.31,0.06,0.42,2.85,46,29,7.8,1530,389,2,8.56,8.75,8.36,1,1,0,25
86,495,2,2011,2,95,1.98,0.53,0.0,0.34,2.84,47,60,8.4,494,241,2,8.79,9.11,8.47,1,1,1,56
87,43,2,2010,0,88,1.87,0.55,0.11,0.29,2.82,53,59,8.2,791,392,2,8.84,8.99,8.69,1,1,1,55
88,471,2,2010,8,27,1.28,1.04,0.07,0.42,2.81,38,56,7.5,286,105,2,7.54,7.9,7.18,1,1,0,52
89,548,2,2010,6,27,1.05,1.23,0.03,0.47,2.78,52,59,7.2,301,77,1,8.7,8.78,8.62,1,1,1,55
90,64,1,2011,8,27,0.89,1.43,0.0,0.46,2.78,52,61,7.5,4926,104,2,8.36,8.2,8.52,1,1,1,57
91,496,3,2015,2,95,1.5,0.8,0.0,0.48,2.78,46,81,7.7,836,417,2,8.81,9.26,8.36,1,1,0,77
92,386,2,2011,8,70,1.45,0.86,0.09,0.38,2.77,47,85,7.9,942,161,2,8.42,8.45,8.4,1,1,1,80
93,774,2,2009,2,55,1.2,0.97,0.17,0.42,2.75,42,63,7.4,211,235,3,8.07,8.23,7.92,1,1,0,59
94,387,3,2013,8,70,0.89,1.33,0.08,0.39,2.69,36,88,6.8,2102,161,2,7.81,8.21,7.42,1,1,0,82
95,550,2,2009,6,27,0.69,1.4,0.04,0.52,2.65,47,55,6.9,113,331,0,7.84,7.9,7.77,1,1,1,51
96,294,2,2011,7,76,0.78,0.73,0.89,0.23,2.63,42,53,6.6,707,344,3,7.93,8.06,7.8,1,1,0,49
97,266,2,2008,10,27,0.48,1.63,0.04,0.43,2.58,50,42,7.5,108,101,0,8.06,7.92,8.21,1,1,1,38
98,441,2,2012,10,27,2.11,0.22,0.0,0.23,2.56,46,22,5.5,101,113,0,8.15,8.33,7.96,1,1,0,18
99,441,2,2012,10,27,0.0,0.01,0.0,0.0,0.01,46,22,5.5,101,113,0,8.15,8.33,7.96,2,0,0,18
100,85,3,2015,0,70,1.03,0.81,0.26,0.38,2.48,55,100,8.6,6383,143,2,9.17,9.39,8.94,1,1,1,90
101,509,2,2012,10,81,1.73,0.43,0.05,0.27,2.47,53,26,8.0,99,409,0,8.73,8.93,8.53,1,1,1,22
102,670,2,2011,0,80,0.86,1.04,0.18,0.38,2.47,45,50,7.7,384,411,2,8.52,9.18,7.86,1,1,0,46
103,633,2,2008,8,70,1.15,0.84,0.1,0.38,2.46,50,79,6.1,1889,185,2,8.23,8.09,8.37,1,1,1,75
104,511,3,2014,10,81,1.47,0.54,0.01,0.43,2.45,46,50,7.0,291,409,0,8.5,8.73,8.26,1,1,0,46
105,488,2,2008,6,81,1.56,0.53,0.05,0.31,2.45,45,50,8.2,100,304,3,8.11,8.27,7.96,1,1,0,46
106,439,2,2010,10,27,2.04,0.15,0.0,0.2,2.38,46,36,6.1,68,113,0,7.97,7.92,8.01,1,1,0,32
107,341,1,2004,8,93,2.28,0.02,0.08,0.0,2.37,59,81,9.1,8665,402,2,9.08,9.64,8.52,1,1,1,77
108,438,2,2009,10,27,2.03,0.13,0.0,0.21,2.37,48,41,6.8,58,113,0,8.14,8.1,8.18,1,1,1,37
109,810,0,2015,0,56,1.15,0.55,0.47,0.17,2.34,52,82,9.0,478,147,1,9.38,9.7,9.05,1,1,1,78
110,332,1,2012,0,54,0.96,1.07,0.0,0.27,2.31,53,69,7.9,2954,19,3,8.54,8.24,8.85,1,1,1,65
111,578,0,2012,7,56,1.12,0.41,0.64,0.14,2.3,38,69,5.6,382,186,0,8.17,8.7,7.64,1,1,0,65
112,54,2,2013,0,95,1.07,0.8,0.04,0.38,2.29,39,46,7.7,668,414,3,8.23,8.86,7.6,1,1,0,42
113,402,2,2007,0,43,1.02,0.9,0.0,0.36,2.29,43,18,6.7,87,378,1,8.01,8.51,7.51,1,1,0,14
114,595,2,2009,10,42,0.3,1.27,0.46,0.26,2.28,41,42,6.7,76,201,0,7.52,7.35,7.69,1,1,0,38
115,156,2,2011,0,22,1.08,0.73,0.15,0.31,2.27,34,41,6.6,405,365,2,7.87,8.33,7.41,1,1,0,37
116,440,2,2011,10,27,1.93,0.15,0.0,0.17,2.25,42,31,5.5,56,113,0,7.97,8.5,7.45,1,1,0,27
117,315,2,2013,0,70,1.23,0.63,0.04,0.35,2.25,43,89,7.5,914,312,2,8.36,8.76,7.96,1,1,0,83
118,334,2,2007,3,3,1.4,0.53,0.02,0.3,2.24,46,45,7.8,52,243,3,8.06,8.14,7.99,1,1,0,41
119,89,2,2012,8,81,1.05,0.72,0.1,0.35,2.23,54,25,8.2,858,156,2,9.07,9.38,8.76,1,1,1,21
120,740,2,2008,0,43,1.01,0.85,0.0,0.35,2.21,34,47,6.6,233,212,3,7.73,8.05,7.41,1,1,0,43
121,442,3,2014,10,27,1.54,0.25,0.0,0.4,2.19,44,37,6.1,208,110,0,8.44,8.83,8.05,1,1,0,33
122,597,2,2011,0,42,0.34,0.96,0.55,0.33,2.19,43,41,6.6,132,201,0,7.77,7.73,7.81,1,1,0,37
123,576,3,2016,8,3,0.81,0.85,0.15,0.33,2.14,53,31,6.1,1358,47,3,8.64,8.47,8.81,1,1,1,27
124,354,2,2012,0,76,0.59,1.05,0.07,0.44,2.14,46,30,7.5,511,188,2,8.48,9.05,7.91,1,1,0,26
125,508,2,2011,10,81,1.62,0.26,0.05,0.18,2.11,53,38,6.7,127,409,0,8.49,8.43,8.54,1,1,1,34
126,510,2,2013,10,81,1.44,0.31,0.04,0.32,2.11,47,26,4.9,142,409,0,8.72,9.14,8.3,1,1,1,22
127,88,2,2009,8,81,1.2,0.6,0.0,0.29,2.09,46,58,7.9,427,156,2,8.58,9.09,8.08,1,1,0,54
128,218,3,2015,0,95,0.96,0.67,0.12,0.34,2.09,37,58,7.9,1287,365,2,8.41,9.25,7.56,1,1,0,54
129,208,3,2014,6,70,0.36,1.38,0.02,0.31,2.07,34,85,6.1,1571,129,0,7.84,8.55,7.13,1,1,0,80
130,549,2,2007,6,27,0.73,0.91,0.04,0.36,2.04,36,26,6.0,43,100,1,7.41,7.34,7.49,1,1,0,22
131,148,2,2011,7,55,0.75,0.51,0.54,0.22,2.02,52,54,8.7,1397,143,2,8.74,8.96,8.52,1,1,1,50
132,551,2,2011,0,27,0.58,1.04,0.03,0.36,2.01,27,48,6.4,182,44,3,7.36,8.33,6.38,1,1,0,44
133,198,3,2014,7,27,0.73,0.88,0.08,0.32,2.01,52,43,7.4,1984,41,2,8.95,9.18,8.71,1,1,1,39
134,161,2,2008,0,27,1.05,0.66,0.0,0.29,2.0,51,67,8.8,545,109,2,8.74,9.09,8.38,2,1,1,63
135,497,2,2008,2,51,1.48,0.28,0.0,0.23,2.0,39,44,7.1,107,229,3,8.0,8.45,7.56,2,1,0,40
136,702,2,2010,10,27,0.79,0.88,0.0,0.32,1.98,43,46,7.6,82,100,3,8.11,8.58,7.65,2,1,0,42
137,100,2,2008,6,27,1.01,0.62,0.02,0.29,1.94,50,55,7.7,455,77,1,8.36,8.31,8.41,2,1,1,51
138,821,2,2010,9,27,0.73,0.89,0.02,0.3,1.94,41,39,6.4,55,372,3,7.83,8.06,7.61,2,1,0,35
139,458,0,2013,3,56,0.62,0.64,0.55,0.11,1.92,20,47,6.3,117,251,0,7.4,8.74,6.06,2,1,0,43
140,178,2,2013,7,3,0.72,0.75,0.15,0.29,1.91,49,43,6.4,557,47,2,8.91,9.32,8.5,2,1,1,39
141,414,3,2014,4,70,0.66,0.93,0.01,0.31,1.91,42,78,7.1,506,350,0,8.22,8.67,7.76,2,1,0,74
142,437,2,2008,10,27,1.56,0.14,0.0,0.18,1.88,48,38,4.4,132,113,0,7.93,7.88,7.99,2,1,1,34
143,513,3,2016,10,81,1.25,0.27,0.02,0.34,1.88,51,47,6.7,162,409,0,8.55,8.45,8.65,2,1,1,43
144,445,2,2013,10,27,1.6,0.03,0.0,0.24,1.87,39,19,4.1,91,110,0,8.25,8.87,7.64,2,1,0,15
145,376,3,2015,0,76,0.47,1.03,0.07,0.28,1.86,36,42,6.5,403,33,2,8.13,8.75,7.52,2,1,0,38
146,470,2,2012,8,81,0.59,0.89,0.06,0.3,1.85,50,31,7.8,790,305,2,8.61,8.82,8.41,2,1,1,27
147,399,2,2013,0,95,0.77,0.76,0.01,0.29,1.84,45,22,7.9,76,358,1,8.5,9.14,7.85,2,1,0,18
148,391,0,2014,4,56,0.61,0.34,0.79,0.09,1.83,43,68,8.8,206,165,0,8.84,9.68,8.0,2,1,0,64
149,945,2,2011,0,70,1.05,0.47,0.08,0.22,1.82,46,90,8.4,932,349,3,8.79,9.3,8.29,2,1,0,84
150,170,2,2009,7,55,0.97,0.33,0.35,0.17,1.82,52,81,8.9,1441,143,2,8.83,9.11,8.56,2,1,1,77
151,448,3,2016,0,81,0.42,1.08,0.03,0.28,1.81,31,66,5.1,1147,168,2,7.62,8.44,6.81,2,1,0,62
152,507,2,2010,0,81,1.41,0.2,0.03,0.16,1.8,52,46,7.6,105,409,0,8.68,8.75,8.61,2,1,1,42
153,793,3,2014,0,12,0.55,0.86,0.11,0.27,1.79,38,65,7.3,1223,361,2,8.1,8.82,7.39,2,1,0,61
154,880,2,2009,2,80,1.07,0.44,0.01,0.24,1.76,47,58,8.1,47,355,3,7.98,7.91,8.05,2,1,1,54
155,444,3,2016,10,27,1.25,0.17,0.0,0.32,1.75,45,35,4.9,83,110,0,8.34,8.47,8.22,2,1,0,31
156,375,2,2010,0,76,0.45,0.92,0.06,0.32,1.75,46,66,8.0,291,33,2,8.37,8.77,7.97,2,1,0,62
157,265,2,2007,10,27,0.35,1.06,0.02,0.31,1.75,44,28,7.1,47,101,0,7.81,7.7,7.91,2,1,0,24
158,206,2,2012,7,15,0.41,0.44,0.72,0.17,1.74,41,38,8.3,444,62,2,8.06,8.51,7.61,2,1,0,34
159,814,3,2015,8,70,0.61,0.78,0.06,0.27,1.74,26,94,6.6,3172,292,2,7.4,8.23,6.57,2,1,0,86
160,392,3,2013,4,72,0.43,0.68,0.42,0.2,1.73,17,83,6.5,1074,311,1,6.91,8.35,5.48,2,1,0,79
161,786,3,2014,6,88,0.35,1.08,0.03,0.26,1.72,24,60,5.4,575,397,3,7.47,8.42,6.52,2,1,0,56
162,113,1,2011,8,3,0.41,0.98,0.0,0.32,1.72,41,26,2.5,5664,184,2,7.96,7.75,8.17,2,1,0,22
163,591,2,2011,8,91,0.83,0.6,0.02,0.24,1.7,58,54,8.4,937,402,1,9.16,9.27,9.05,2,1,1,50
164,562,3,2016,0,35,0.63,0.76,0.03,0.27,1.7,34,94,4.5,5096,173,3,7.18,7.1,7.26,2,1,0,86
165,667,2,2008,0,80,0.88,0.54,0.02,0.25,1.68,45,50,7.9,135,411,2,8.35,8.89,7.8,2,1,0,46
166,690,1,2010,11,81,0.98,0.52,0.0,0.17,1.68,53,70,7.9,2280,136,1,9.13,9.55,8.72,2,1,1,66
167,290,2,2006,2,27,0.81,0.58,0.01,0.26,1.67,46,37,7.9,24,103,3,8.01,8.11,7.91,2,1,0,33
168,891,3,2015,1,72,0.45,0.9,0.05,0.26,1.66,42,103,8.2,2161,352,2,8.6,9.22,7.98,2,1,0,92
169,150,3,2016,7,55,0.65,0.45,0.34,0.22,1.65,52,69,8.8,1940,143,2,9.1,9.43,8.77,2,1,1,65
170,348,2,2007,0,70,0.57,0.72,0.06,0.29,1.65,42,64,8.3,544,249,3,7.57,7.64,7.51,2,1,0,60
171,73,2,2013,1,70,0.52,0.8,0.06,0.26,1.63,33,98,8.1,2652,286,2,7.94,8.55,7.34,2,1,0,89
172,399,3,2013,0,95,0.59,0.76,0.01,0.26,1.62,46,22,7.7,262,358,1,8.34,8.86,7.82,2,1,0,18
173,594,2,2007,10,42,0.04,1.1,0.32,0.13,1.59,37,19,6.1,47,201,0,6.97,6.7,7.25,2,1,0,15
174,388,0,2012,0,76,0.88,0.26,0.34,0.1,1.58,38,54,8.2,267,344,1,8.69,9.66,7.71,2,1,0,50
175,718,2,2011,4,68,0.6,0.69,0.02,0.26,1.58,39,38,8.2,253,322,0,8.35,8.89,7.8,2,1,0,34
176,174,2,2008,0,15,0.58,0.45,0.34,0.2,1.57,47,63,8.2,311,62,2,8.19,8.17,8.22,2,1,1,59
177,923,3,2014,8,12,0.47,0.8,0.03,0.24,1.55,42,73,8.1,1116,214,2,8.41,8.96,7.86,2,1,0,69
178,75,2,2010,8,81,0.85,0.46,0.02,0.22,1.54,51,62,8.2,492,5,2,8.63,8.91,8.36,2,1,1,58
179,598,2,2012,10,42,0.18,0.63,0.49,0.24,1.53,45,37,6.7,146,201,0,8.02,8.06,7.97,2,1,0,33
180,186,2,2012,0,12,0.72,0.52,0.04,0.25,1.53,52,35,7.9,781,21,2,8.9,8.95,8.84,2,1,1,31
181,109,1,2012,8,3,0.64,0.69,0.0,0.19,1.53,37,11,4.2,1635,380,2,7.9,7.87,7.93,2,1,0,7
182,291,2,2009,2,27,0.92,0.4,0.0,0.2,1.52,51,46,7.6,95,101,3,8.09,7.98,8.2,2,1,1,42
183,556,2,2011,7,55,0.6,0.47,0.21,0.23,1.51,48,89,8.6,984,208,1,8.8,9.17,8.43,2,1,1,83
184,105,2,2006,8,3,0.6,0.62,0.03,0.26,1.5,43,43,6.9,92,380,3,7.46,7.33,7.6,2,1,0,39
185,741,2,2010,0,43,0.8,0.49,0.0,0.21,1.5,26,41,6.8,121,212,3,7.3,8.16,6.44,2,1,0,37
186,646,2,2008,3,45,1.13,0.2,0.0,0.16,1.49,54,24,7.9,88,169,3,8.32,8.36,8.29,2,1,1,20
187,447,2,2010,0,81,0.5,0.69,0.04,0.26,1.49,38,61,7.7,297,4,2,7.93,8.58,7.27,2,1,0,57
188,634,2,2011,8,70,0.64,0.57,0.05,0.22,1.48,46,91,7.8,543,185,2,8.2,8.19,8.22,2,1,0,85
189,722,2,2008,2,88,0.72,0.4,0.14,0.2,1.46,48,65,7.9,129,234,3,7.89,7.94,7.83,2,1,1,61
190,466,2,2011,7,27,0.78,0.45,0.03,0.19,1.45,57,62,8.5,1081,41,2,9.22,9.28,9.17,2,1,1,58
191,510,3,2013,10,81,0.89,0.31,0.01,0.23,1.45,48,20,6.5,368,409,0,8.43,8.9,7.95,2,1,1,16
192,24,1,2011,11,88,0.0,1.13,0.0,0.29,1.43,46,33,7.0,493,50,3,7.04,5.99,8.09,2,1,0,29
193,467,2,2012,7,27,0.63,0.56,0.03,0.2,1.42,56,30,5.5,1849,41,2,9.01,9.15,8.87,2,1,1,26
194,162,2,2011,8,27,0.73,0.48,0.0,0.21,1.42,52,78,8.4,535,408,2,8.97,9.16,8.78,2,1,1,74
195,479,2,2013,0,42,0.45,0.37,0.44,0.16,1.42,43,61,7.9,746,275,2,8.02,8.57,7.48,2,1,0,57
196,881,2,2010,2,80,0.8,0.4,0.02,0.18,1.41,48,54,7.2,48,422,3,8.06,8.15,7.97,2,1,1,50
197,473,2,2012,0,27,0.48,0.62,0.06,0.26,1.41,18,22,6.0,250,87,2,7.23,8.52,5.94,2,1,0,18
198,284,2,2008,0,88,0.43,0.69,0.01,0.26,1.38,48,49,6.4,241,392,2,8.1,8.17,8.03,2,1,1,45
199,939,0,2014,4,56,0.48,0.53,0.28,0.09,1.38,27,71,6.1,155,26,0,7.69,8.73,6.66,2,1,0,67
200,159,2,2010,0,15,0.43,0.56,0.15,0.21,1.36,43,54,6.7,178,51,2,7.61,7.63,7.6,2,1,0,50
201,639,2,2006,6,55,0.24,0.7,0.16,0.26,1.36,41,45,7.1,52,235,0,7.72,7.72,7.73,2,1,0,41
202,902,2,2012,0,80,0.51,0.6,0.0,0.25,1.35,39,24,8.1,99,355,3,8.04,8.3,7.79,2,1,0,20
